referee,total_games,avg_margin,avg_penalties,penalty_diff,odds_delta,overtime_rate,labels
Alex Kemp,230,-0.09062499999999997,6.41875,0.003124999999999987,-0.012500000000000056,6.09,baseline_control
Bill Vinovich,238,-0.828125,5.31875,0.065625,-0.5,5.88,baseline_control
Clete Blakeman,234,-0.9718749999999999,6.24375,0.09687500000000003,-0.5031249999999999,5.98,baseline_control
Clay Martin,222,0.09375000000000004,5.959375,-0.03437500000000001,-0.034374999999999954,5.41,baseline_control
Carl Cheffers,232,-0.32812500000000006,6.2375,-0.06875,0.049999999999999975,8.62,overtime_frequency_gt_15pct
Ron Torbert,168,-0.17666666666666664,6.0,-0.07333333333333333,-0.19,4.65,baseline_control
Brad Allen,226,-0.05000000000000002,5.9125,0.1125,0.17500000000000004,4.42,baseline_control
Craig Wrolstad,230,0.45312500000000006,6.08125,0.028125000000000025,0.3874999999999999,4.35,baseline_control
Scott Novak,190,-0.43125,5.753125,-0.090625,-0.54375,5.26,baseline_control
Shawn Hochuli,228,-0.12187500000000007,6.528125,0.0625,-0.05312500000000002,7.89,"high_penalties_close_games, overtime_frequency_gt_15pct"
John Hussey,236,-0.6625,5.715625,0.07499999999999998,-0.446875,5.93,low_flags_high_blowouts
Brad Rogers,151,0.7433333333333334,5.956666666666666,0.07999999999999999,0.5700000000000001,2.6,baseline_control
Shawn Smith,226,-0.1531249999999999,5.9125,-0.23125,-0.22187499999999993,7.08,baseline_control
Tra Blake,80,0.33636363636363636,6.363636363636363,0.09090909090909091,-0.14090909090909082,6.25,baseline_control
Adrian Hill,193,0.33000000000000007,6.206666666666666,0.013333333333333329,0.09666666666666668,7.14,baseline_control
Tony Corrente,119,0.07777777777777782,5.977777777777778,0.10740740740740737,0.18888888888888877,6.25,overseas_flag_surge
Land Clark,156,-0.38000000000000006,5.989999999999999,-0.12333333333333334,-0.55,7.5,baseline_control
Jerome Boger,155,-0.22068965517241382,6.175862068965517,0.16551724137931037,3.828355257328126e-17,1.25,baseline_control
Walt Anderson,37,1.9636363636363638,6.909090909090909,0.34545454545454546,0.7999999999999999,12.12,overtime_frequency_gt_15pct
Ronald Torbert,29,2.7625,6.375,-0.1625,2.1624999999999996,3.12,baseline_control
John Parry,6,3.0,5.85,2.2,2.35,0.0,baseline_control
Alan Eck,33,2.5300000000000002,5.470000000000001,0.18,2.12,3.03,low_flags_high_blowouts
